"ORIGIN NET (mindspore)","TARGET NET (pytorch)","shape of orig","shape of target","result of allclose","ratio of allclose","cosine similarity","mean & max diffs"
"NN_Conv2d_0_forward_input.0","NN_Conv2d_0_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_0_forward_output","NN_Conv2d_0_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_Conv2d_1_forward_input.0","NN_Conv2d_1_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_1_forward_output","NN_Conv2d_1_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_Conv2d_2_forward_input.0","NN_Conv2d_2_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_2_forward_output","NN_Conv2d_2_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_Conv2d_3_forward_input.0","NN_Conv2d_3_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_3_forward_output","NN_Conv2d_3_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_Conv2d_4_forward_input.0","NN_Conv2d_4_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_4_forward_output","NN_Conv2d_4_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_Conv2d_5_forward_input.0","NN_Conv2d_5_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_5_forward_output","NN_Conv2d_5_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_Conv2d_6_forward_input.0","NN_Conv2d_6_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_6_forward_output","NN_Conv2d_6_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_Conv2d_7_forward_input.0","NN_Conv2d_7_forward_input.0","(10, 3, 224, 224)","(10, 3, 224, 224)","True","100.00%","1.00000","0.00000, 0.00000"
"NN_Conv2d_7_forward_output","NN_Conv2d_7_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_0_forward_input.0","NN_BatchNorm2d_0_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_0_forward_output","NN_BatchNorm2d_0_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_1_forward_input.0","NN_BatchNorm2d_1_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_1_forward_output","NN_BatchNorm2d_1_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_2_forward_input.0","NN_BatchNorm2d_2_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_2_forward_output","NN_BatchNorm2d_2_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_3_forward_input.0","NN_BatchNorm2d_3_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_3_forward_output","NN_BatchNorm2d_3_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_4_forward_input.0","NN_BatchNorm2d_4_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_4_forward_output","NN_BatchNorm2d_4_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_5_forward_input.0","NN_BatchNorm2d_5_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_5_forward_output","NN_BatchNorm2d_5_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_6_forward_input.0","NN_BatchNorm2d_6_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_6_forward_output","NN_BatchNorm2d_6_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_7_forward_input.0","NN_BatchNorm2d_7_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_BatchNorm2d_7_forward_output","NN_BatchNorm2d_7_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_ReLU_0_forward_input.0","NN_ReLU_0_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","False","53.72%","0.65556","0.15224, 1.67195"
"NN_ReLU_0_forward_output","NN_ReLU_0_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_ReLU_1_forward_input.0","NN_ReLU_1_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","False","53.72%","0.65556","0.15224, 1.67195"
"NN_ReLU_1_forward_output","NN_ReLU_1_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_ReLU_2_forward_input.0","NN_ReLU_2_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","False","53.72%","0.65556","0.15224, 1.67195"
"NN_ReLU_2_forward_output","NN_ReLU_2_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_ReLU_3_forward_input.0","NN_ReLU_3_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","False","53.72%","0.65556","0.15224, 1.67195"
"NN_ReLU_3_forward_output","NN_ReLU_3_forward_output","(10, 64, 112, 112)","(10, 64, 112, 112)","True","100.00%","0.99999","0.00000, 0.00000"
"NN_ReLU_4_forward_input.0","NN_ReLU_4_forward_input.0","(10, 64, 112, 112)","(10, 64, 112, 112)","False","53.72%","0.65556","0.15224, 1.67195"
