"ORIGIN NET (mindspore)","TARGET NET (pytorch)"
"","LAYER_features_0"
"NN_Conv2d_0","NN_Conv2d_0"
"","LAYER_features_1"
"NN_BatchNorm2d_0","NN_BatchNorm2d_0"
"","LAYER_features_2"
"NN_ReLU_0","NN_ReLU_0"
"","LAYER_features_3"
"NN_MaxPool2d_0","NN_MaxPool2d_0"
"","LAYER_features_dense_0_0_bn1"
"NN_BatchNorm2d_1","NN_BatchNorm2d_1"
"Functional_relu_0","Functional_relu_0"
"","LAYER_features_dense_0_0_conv1"
"NN_Conv2d_1","NN_Conv2d_1"
"","LAYER_features_dense_0_0_bn2"
"NN_BatchNorm2d_2","NN_BatchNorm2d_2"
"Functional_relu_1","Functional_relu_1"
"","LAYER_features_dense_0_0_conv2"
"NN_Conv2d_2","NN_Conv2d_2"
"Functional_concat_0","Torch_cat_0
LAYER_features_dense_0_0
LAYER_features_dense_0_1_bn1"
"NN_BatchNorm2d_3","NN_BatchNorm2d_3"
"Functional_relu_2","Functional_relu_2"
"","LAYER_features_dense_0_1_conv1"
"NN_Conv2d_3","NN_Conv2d_3"
"","LAYER_features_dense_0_1_bn2"
"NN_BatchNorm2d_4","NN_BatchNorm2d_4"
"Functional_relu_3","Functional_relu_3"
"","LAYER_features_dense_0_1_conv2"
"NN_Conv2d_4","NN_Conv2d_4"
"Functional_concat_1","Torch_cat_1
LAYER_features_dense_0_1
LAYER_features_dense_0_2_bn1"
"NN_BatchNorm2d_5","NN_BatchNorm2d_5"
"Functional_relu_4","Functional_relu_4"
"","LAYER_features_dense_0_2_conv1"
"NN_Conv2d_5","NN_Conv2d_5"
"","LAYER_features_dense_0_2_bn2"
"NN_BatchNorm2d_6","NN_BatchNorm2d_6"
"Functional_relu_5","Functional_relu_5"
"","LAYER_features_dense_0_2_conv2"
"NN_Conv2d_6","NN_Conv2d_6"
"Functional_concat_2","Torch_cat_2
LAYER_features_dense_0_2
LAYER_features_dense_0_3_bn1"
"NN_BatchNorm2d_7","NN_BatchNorm2d_7"
"Functional_relu_6","Functional_relu_6"
"","LAYER_features_dense_0_3_conv1"
"NN_Conv2d_7","NN_Conv2d_7"
"","LAYER_features_dense_0_3_bn2"
"NN_BatchNorm2d_8","NN_BatchNorm2d_8"
"Functional_relu_7","Functional_relu_7"
"","LAYER_features_dense_0_3_conv2"
"NN_Conv2d_8","NN_Conv2d_8"
"Functional_concat_3","Torch_cat_3
LAYER_features_dense_0_3
LAYER_features_dense_0_4_bn1"
"NN_BatchNorm2d_9","NN_BatchNorm2d_9"
"Functional_relu_8","Functional_relu_8"
"","LAYER_features_dense_0_4_conv1"
"NN_Conv2d_9","NN_Conv2d_9"
