"ORIGIN NET (mindspore)","TARGET NET (pytorch)"
"","LAYER_features_0"
"NN_Conv2d_0","NN_Conv2d_0"
"NN_Conv2d_1","NN_Conv2d_1"
"NN_Conv2d_2","NN_Conv2d_2"
"NN_Conv2d_3","NN_Conv2d_3"
"NN_Conv2d_4","NN_Conv2d_4"
"NN_Conv2d_5","NN_Conv2d_5"
"NN_Conv2d_6","NN_Conv2d_6"
"NN_Conv2d_7","NN_Conv2d_7"
"NN_Conv2d_8","NN_Conv2d_8"
"","LAYER_features_1"
"NN_BatchNorm2d_0","NN_BatchNorm2d_0"
"NN_BatchNorm2d_1","NN_BatchNorm2d_1"
"NN_BatchNorm2d_2","NN_BatchNorm2d_2"
"NN_BatchNorm2d_3","NN_BatchNorm2d_3"
"NN_BatchNorm2d_4","NN_BatchNorm2d_4"
"NN_BatchNorm2d_5","NN_BatchNorm2d_5"
"NN_BatchNorm2d_6","NN_BatchNorm2d_6"
"NN_BatchNorm2d_7","NN_BatchNorm2d_7"
"NN_BatchNorm2d_8","NN_BatchNorm2d_8"
"","LAYER_features_2"
"NN_ReLU_0","NN_ReLU_0"
"NN_ReLU_1","NN_ReLU_1"
"NN_ReLU_2","NN_ReLU_2"
"NN_ReLU_3","NN_ReLU_3"
"NN_ReLU_4","NN_ReLU_4"
"NN_ReLU_5","NN_ReLU_5"
"NN_ReLU_6","NN_ReLU_6"
"NN_ReLU_7","NN_ReLU_7"
"NN_ReLU_8","NN_ReLU_8"
"","LAYER_features_3"
"NN_MaxPool2d_0","NN_MaxPool2d_0"
"NN_MaxPool2d_1","NN_MaxPool2d_1"
"NN_MaxPool2d_2","NN_MaxPool2d_2"
"NN_MaxPool2d_3","NN_MaxPool2d_3"
"NN_MaxPool2d_4","NN_MaxPool2d_4"
"NN_MaxPool2d_5","NN_MaxPool2d_5"
"NN_MaxPool2d_6","NN_MaxPool2d_6"
"NN_MaxPool2d_7","NN_MaxPool2d_7"
"NN_MaxPool2d_8","NN_MaxPool2d_8"
"","LAYER_features_dense_0_0_bn1"
"NN_BatchNorm2d_9","NN_BatchNorm2d_9"
"NN_BatchNorm2d_10","NN_BatchNorm2d_10"
"NN_BatchNorm2d_11","NN_BatchNorm2d_11"
"NN_BatchNorm2d_12","NN_BatchNorm2d_12"
"NN_BatchNorm2d_13","NN_BatchNorm2d_13"
"NN_BatchNorm2d_14","NN_BatchNorm2d_14"
"NN_BatchNorm2d_15","NN_BatchNorm2d_15"
"NN_BatchNorm2d_16","NN_BatchNorm2d_16"
"NN_BatchNorm2d_17","NN_BatchNorm2d_17"
"Functional_relu_0","Functional_relu_0"
"","LAYER_features_dense_0_0_conv1"
